,exp,it,res,all,time
0,15,0,652214272,92273152,16541.69921875
1,15,1,379584512,91260416,57.157569885253906
2,15,2,364904448,91025920,56.60432052612305
3,15,3,364904448,91269632,58.1014404296875
4,16,0,650117120,99783680,79.60028839111328
5,16,1,650117120,100283904,60.08195114135742
6,16,2,629145600,99783680,64.33958435058594
7,16,3,643825664,100283904,60.5596809387207
8,17,0,1218445312,116298752,68.246337890625
9,17,1,1195376640,116576768,62.97526550292969
10,17,2,1184890880,116036608,63.0781135559082
11,17,3,1184890880,116036608,63.25929641723633
12,18,0,2252341248,149114880,65.90531158447266
13,18,1,2281701376,149117952,66.28083038330078
14,18,2,2285895680,149893120,66.93206024169922
15,18,3,2254438400,150665216,61.99824142456055
16,19,0,4395630592,219289088,65.91542053222656
17,19,1,4389339136,217748480,63.79372787475586
18,19,2,4385144832,217748480,65.2371826171875
19,19,3,4450156544,219107840,65.0232925415039
20,20,0,8766095360,352728576,80.53510284423828
21,20,1,8703180800,351966208,80.60393524169922
22,20,2,8770289664,352563200,80.82498931884766
23,20,3,8627683328,352728576,79.47225952148438
24,21,0,17729323008,621164032,145.23922729492188
25,21,1,17056137216,620401664,143.06069946289062
26,21,2,17192452096,620401664,142.9931182861328
27,21,3,17188257792,621939200,142.99452209472656
28,22,0,34699476992,1158813184,279.5039367675781
29,22,1,34544287744,1158047744,279.7940673828125
30,22,2,32912703488,1157272576,280.93402099609375
31,22,3,34793848832,1158034944,279.6203918457031
32,23,0,69289902080,2231792640,554.3067626953125
33,23,1,69774344192,2231014400,590.9878540039062
34,23,2,69268930560,2232567808,569.9699096679688
35,23,3,68228743168,2232561664,580.7725219726562
