,exp,it,res,all,time
0,15,0,339738624,58319872,32243.802734375
1,15,1,299892736,92225536,20.540735244750977
2,15,2,299892736,92225536,16.758047103881836
3,15,3,299892736,92225536,16.80451202392578
4,16,0,297795584,116768768,15.708928108215332
5,16,1,295698432,116637696,14.779680252075195
6,16,2,295698432,116768768,16.016063690185547
7,16,3,295698432,116637696,16.562528610229492
8,17,0,295698432,165462016,15.920767784118652
9,17,1,295698432,166117376,15.198431968688965
10,17,2,295698432,165593088,15.015392303466797
11,17,3,295698432,165986304,14.925312042236328
12,18,0,415236096,264159232,19.49849510192871
13,18,1,448790528,263110656,18.26166343688965
14,18,2,448790528,263110656,18.153343200683594
15,18,3,446693376,263110656,22.137056350708008
16,19,0,782237696,458407936,21.863935470581055
17,19,1,782237696,458407936,20.236928939819336
18,19,2,782237696,458407936,22.333791732788086
19,19,3,782237696,458407936,49.9892463684082
20,20,0,1543503872,849002496,22.624736785888672
21,20,1,1543503872,849002496,20.3624324798584
22,20,2,1543503872,849002496,21.267648696899414
23,20,3,1543503872,849002496,23.496768951416016
24,21,0,2829058048,1630191616,28.030336380004883
25,21,1,2996830208,1630191616,25.646432876586914
26,21,2,2996830208,1630191616,23.558271408081055
27,21,3,2996830208,1630191616,23.783647537231445
28,22,0,5561647104,3192569856,40.96944046020508
29,22,1,5695864832,3192569856,48.538047790527344
30,22,2,5695864832,3192569856,45.06377410888672
31,22,3,5695864832,3192569856,44.94755172729492
32,23,0,11098128384,6317326336,127.52416229248047
33,23,1,11903434752,6317326336,91.04425811767578
34,23,2,11098128384,6317326336,92.96099090576172
35,23,3,11098128384,6317326336,92.37039947509766
36,24,0,20292042752,12566839296,170.4371795654297
37,24,1,23513268224,12566839296,417.7802734375
38,24,2,23513268224,12566839296,168.02284240722656
39,24,3,23513268224,12566839296,167.98764038085938
